Designator,Mid X,Mid Y,Rotation,Layer
C1,100.5,-60.402651,90.0,top
C2,132.0,-95.902651,90.0,top
D1,144.34,-97.2,0.0,top
D2,119.14,-98.2,0.0,top
D3,136.5,-90.0,90.0,top
D4,118.0,-90.0,180.0,top
D5,137.5,-60.5,270.0,top
D6,133.5,-56.0,90.0,top
K1,147.75,-73.08,90.0,top
K2,118.25,-72.42,90.0,top
L1,148.1,-51.525,0.0,top
L2,118.1,-51.525,0.0,top
PWD1,102.75,-90.825,180.0,top
Q1,131.107573,-72.046471,270.0,top
Q2,104.05,-72.0,270.0,top
Q3,73.224351,-75.979677,270.0,top
Q4,78.654351,-75.939677,270.0,top
R1,71.5,-84.5,0.0,top
R2,73.5,-81.0,0.0,top
R3,69.0,-73.5,270.0,top
R4,80.0,-81.0,0.0,top
R5,128.0,-51.0,270.0,top
R6,94.5,-74.5,90.0,top
R7,127.0,-77.0,90.0,top
R8,96.5,-71.5,90.0,top
U1,76.07184,-76.08728,180.0,top
